,fao_area,isscaap_code,isscaap_group,asfis_code,common_name,species_name,location,status_year,tier,status,uncertainty,assessment_update,data_owner,data_provider,operational_data_process,source_citation,source_citation_url,grsf_short_name,grsf_stock_id,grsf_semantic_id,data_provider_stock_id,unit_update,subarea_description,assessment_method,assessment_description,status_basis,BdivBref,B_refpt,FdivFref,F_refpts,status_text,comments,sosi_temp_id,sdg_id,sosi_record_type
0,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Area 31 Honduras,2023,2,U,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Honduras,4637ae90-5ab9-354f-b9b9-c1636bb786f3,asfis:COO+fao:31,,False,,Surplus production,JABBA with FAO landings and regional effort from Rousseau et al. 2019 extended to 2023,B,1.62,Bmsy,0.45,Fmsy,Underexploited,,sosi_306,,SoSIndex
1,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Dominican Republic,2023,2,U,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Dominican Republic,d390a91b-d5fa-3d25-8efd-676c2b44c5fd,asfis:COO+wja:DOM,,False,,Surplus production,JABBA with FAO landings and regional effort from Rousseau et al. 2019 extended to 2023,B,1.86,Bmsy,0.12,Fmsy,Underexploited,,sosi_338,,SoSIndex
2,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Belize,2023,2,U,H,yes,BLZ,National,FAO-SDG1441,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Belize,25562779-372e-38c3-92f8-344b438f9507,asfis:COO+eez:BLZ,,False,,Surplus production,Jabba with FAO landings local effort data series 1996-2011,B,1.51,Bmsy,0.5,Fmsy,Underexploited,,sosi_301,sdg-blz-1,SoSIndex
3,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,The Bahamas,2023,2,U,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Bahamas,b635fabd-ef71-3b3a-a15e-cee0d889207c,asfis:COO+wja:BHS,,False,,Surplus production,JABBA with FAO landings and local CPUE data series 1988-2012,B,1.62,Bmsy,0.14,Fmsy,Underexploited,,sosi_296,,SoSIndex
4,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Area 31 Nicaragua,2023,2,U,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Nicaragua,9d7a728c-1cac-3bb9-8beb-98fde2bc8ba9,asfis:COO+fao:31,,False,,Surplus production,JABBA with FAO landings and local effort data series 2007-2023,B,1.51,Bmsy,0.34,Fmsy,Underexploited,,sosi_303,,SoSIndex
5,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Jamaica,2023,2,U,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Jamaica,fa8e5c9f-769a-3eb5-a0c8-57562c457007,asfis:COO+wja:JAM,,False,,Surplus production,JABBA with FAO landings and survey biomass 1994-2018,B,1.9,Bmsy,0.06,Fmsy,Underexploited,,sosi_297,,SoSIndex
6,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Area 31 Mexico,2023,2,M,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Mexico,40a79c0f-6804-3227-811f-b72243f86c7b,asfis:COO+fao:31.2.2,,False,,Surplus production,JABBA with FAO landings and local CPUE data series 1989-2022,B,1.2,Bmsy,0.23,Fmsy,Maximally sustainably fished,,sosi_298,,SoSIndex
7,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Puerto Rico,2023,2,U,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Puerto Rico,d0462941-2e5b-3d70-8489-69714955242c,asfis:COO+wja:PRI,,False,,Surplus production,JABBA with FAO landings and local CPUE data series 1992-2005,B,1.73,Bmsy,0.48,Fmsy,Underexploited,,sosi_299,,SoSIndex
8,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,Turks and Caicos,2023,2,U,H,yes,TCA,National,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - Turks and Caicos,b1161c0d-b6d9-322e-908d-cbd36f65cc6c,asfis:COO+eez:TCA,,False,,Surplus production,JABBA with FAO landings and local CPUE data 1974-2012,B,1.77,Bmsy,0.35,Fmsy,Underexploited,,sosi_302,,SoSIndex
9,fao:31,52,"""Abalones, winkles, conchs""",COO,Queen conch,Aliger gigas,USA Virgin islands,2021,2,M,H,yes,FAO,FAO,FAO-SoSI,"Sharma, R., Barange, M., Agostini, V., Barros, P., Gutierrez, N.L., Vasconcellos, M., Fernandez Reguera, D., Tiffay, C., & Levontin, P., eds. 2025. Review of the state of world marine fishery resources – 2025. FAO Fisheries and Aquaculture Technical Paper, No. 721. Rome. FAO.",https://doi.org/10.4060/cd5538en,Queen conch - US Virgin Islands,723859bc-03fe-34ba-821b-44517f0bf124,asfis:COO+wja:VIR,,False,,Surplus production,JABBA with FAO landings and local CPUE data series 1986-2005,B,1.2,Bmsy,0.63,Fmsy,Maximally sustainably fished,,sosi_300,,SoSIndex
